Rank;Date_of_birth;Nationality;Weight;Height;PCS_points;One_day_races;GC;Time_trial;Sprint;Climber;Hills
479;8th May 1990 ;Italy;4;1.75;142;1938;534;0;335;444;1516
480;22nd August 1987 ;Italy;7;1.70;243;1663;1742;148;74;2284;1634
481;20th January 1995 ;France;4;1.87;119;476;241;42;351;4;296
482;13th September 2001 ;Great Britain;0;1.81;36;58;283;1;14;259;152
483;15th March 2000 ;Netherlands;4;1.90;145;166;311;259;220;54;237
484;19th August 2000 ;Germany;8;1.80;122;374;202;1;10;162;318
485;22nd March 1985 ;Denmark;7;1.82;133;3644;6633;1693;191;5796;2402
486;9th January 1997 ;Luxembourg;3;1.93;183;582;420;242;53;247;282
487;1st August 2001 ;Germany;1;1.81;149;118;57;100;211;49;228
488;18th July 1986 ;Australia;3;1.75;177;2426;1560;139;266;1374;1708
489;30th October 1995 ;Great Britain;5;1.90;78;718;599;307;213;152;415
490;1st May 2004 ;France;0;1.80;113;102;50;40;41;52;178
491;28th June 1990 ;United States;7;1.83;127;305;854;372;24;536;223
492;5th January 1997 ;Italy;8;1.85;116;314;582;9;9;549;398
493;29th April 1996 ;Belgium;4;1.78;101;416;349;23;22;242;326
494;1st June 1998 ;"MongoliaPlace of birth: SukhbaatarPoints per specialty107Onedayraces155GC162TT212Sprint21Climber25Hillsinstafbstrava

UCI World337
PCS Ranking446


Visits:▲143  this week";;;119;107;155;162;212;21;25
495;19th January 1999 ;"GrenadaHeight: 1.81 mPlace of birth: LondonPoints per specialty183Onedayraces3GC151TT99Sprint2Climber15HillsXsitestravainstafbCross profile
Previous nationalities
 Great Britain until 2021


UCI World316
PCS Ranking447


Visits:▲695  this week";;1.81;133;183;3;151;99;2;15
496;6th February 1992 ;Italy;8;1.73;114;866;233;23;62;244;650
497;24th March 2000 ;Bermuda;7;1.77;132;126;0;454;86;5;10
498;9th April 2001 ;Italy;5;1.80;103;51;91;18;24;49;80
499;14th April 2004 ;Norway;8;1.75;118;55;221;5;3;155;38
500;28th September 1998 ;Italy;6;1.80;140;878;187;6;50;606;606
